open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1677974400000,22335.80,22335.80,22327.10,22328.60,301.112,1677974459999,6723898.25040,2129,97.038,2166830.26630,0
1677974460000,22328.70,22337.10,22328.60,22337.10,221.476,1677974519999,4946458.79970,1520,176.276,3936920.78130,0
1677974520000,22337.10,22341.80,22329.70,22331.00,457.230,1677974579999,10213741.91760,2766,235.157,5253030.29730,0
1677974580000,22331.00,22338.00,22330.40,22330.40,141.409,1677974639999,3158173.61300,1159,89.732,2004000.84180,0
1677974640000,22330.50,22335.30,22329.40,22335.20,95.619,1677974699999,2135303.31160,749,57.064,1274364.61660,0
1677974700000,22335.20,22336.50,22332.10,22332.10,93.563,1677974759999,2089769.85260,918,51.806,1157118.74300,0
1677974760000,22332.20,22335.90,22332.10,22334.50,81.773,1677974819999,1826233.64660,752,18.961,423465.26980,0
1677974820000,22334.50,22337.70,22331.20,22331.30,69.164,1677974879999,1544866.29310,814,39.482,881883.24650,0
1677974880000,22331.20,22331.30,22326.90,22327.50,152.725,1677974939999,3410125.62730,1220,36.591,817003.26590,0
1677974940000,22327.50,22333.80,22327.40,22330.60,75.481,1677974999999,1685528.37850,654,33.516,748403.13640,0
1677975000000,22330.60,22330.60,22330.50,22330.50,50.752,1677975059999,1133320.02630,509,24.903,556098.93180,0
1677975060000,22330.50,22333.00,22328.70,22333.00,58.287,1677975119999,1301530.34120,663,30.422,679316.49830,0
1677975120000,22333.00,22333.00,22328.80,22328.80,73.141,1677975179999,1633330.75460,579,37.242,831656.94920,0
1677975180000,22328.90,22328.90,22328.40,22328.40,43.033,1677975239999,960867.75220,555,18.398,410801.89820,0
1677975240000,22328.50,22330.00,22326.80,22329.90,81.589,1677975299999,1821731.22730,738,40.178,897110.62860,0
1677975300000,22330.00,22332.60,22329.90,22332.60,58.774,1677975359999,1312527.87210,628,27.620,616809.54850,0
1677975360000,22332.50,22332.50,22329.10,22329.20,35.781,1677975419999,798977.65740,599,8.585,191699.41120,0
1677975420000,22329.10,22331.90,22327.40,22327.40,59.520,1677975479999,1329023.90080,645,24.991,558029.83730,0
1677975480000,22327.50,22327.50,22325.80,22325.90,62.715,1677975539999,1400190.18340,628,5.099,113843.56670,0
1677975540000,22325.90,22331.80,22325.80,22331.70,102.727,1677975599999,2293612.24730,637,73.328,1637236.29840,0
1677975600000,22331.70,22333.00,22331.70,22331.90,59.927,1677975659999,1338306.64180,586,43.218,965154.20080,0
1677975660000,22331.90,22331.90,22330.40,22330.80,42.323,1677975719999,945124.22760,516,28.039,626141.17960,0
1677975720000,22330.50,22330.50,22325.30,22325.40,88.493,1677975779999,1975711.94240,735,13.209,294904.93020,0
1677975780000,22325.30,22325.30,22305.40,22312.00,398.288,1677975839999,8888430.37800,2058,34.809,776590.71770,0
1677975840000,22312.00,22315.20,22305.00,22305.10,104.242,1677975899999,2325646.32580,1047,26.701,595718.86680,0
1677975900000,22305.10,22308.80,22305.00,22308.70,74.039,1677975959999,1651579.36750,653,49.966,1114577.33320,0
1677975960000,22308.70,22308.80,22307.70,22307.70,53.527,1677976019999,1194091.06140,432,9.424,210231.20800,0
1677976020000,22307.80,22312.10,22307.70,22312.10,58.439,1677976079999,1303723.78490,682,41.644,929049.33160,0
1677976080000,22312.00,22312.10,22304.70,22307.80,158.533,1677976139999,3536507.61360,835,20.095,448249.52270,0
1677976140000,22307.90,22315.20,22307.80,22315.10,47.968,1677976199999,1070346.41530,566,36.460,813547.76440,0
1677976200000,22315.10,22318.80,22314.50,22314.50,80.023,1677976259999,1785899.78000,780,42.907,957572.61370,0
1677976260000,22314.50,22314.60,22311.10,22311.10,48.890,1677976319999,1090852.05750,783,15.298,341338.32320,0
1677976320000,22311.20,22318.40,22311.10,22318.30,45.138,1677976379999,1007193.28680,506,33.974,758068.61430,0
1677976380000,22318.30,22320.90,22318.30,22320.90,54.683,1677976439999,1220504.36990,509,49.157,1097165.25650,0
1677976440000,22320.80,22347.00,22320.80,22342.40,531.253,1677976499999,11867709.47560,3120,426.938,9536910.34190,0
1677976500000,22342.40,22348.00,22338.60,22342.90,196.407,1677976559999,4388695.75820,1916,118.055,2637952.58460,0
1677976560000,22342.90,22344.10,22333.20,22336.00,129.670,1677976619999,2896816.71950,1275,56.505,1262358.59580,0
1677976620000,22335.90,22336.00,22328.00,22334.90,63.217,1677976679999,1411763.44920,921,20.290,453113.03360,0
1677976680000,22335.00,22335.00,22327.20,22334.50,73.393,1677976739999,1638876.45080,941,25.939,579222.60930,0
1677976740000,22334.40,22334.50,22330.10,22330.20,34.488,1677976799999,770187.46700,522,9.021,201455.30630,0
1677976800000,22330.20,22334.60,22325.80,22325.90,110.283,1677976859999,2462742.67990,998,64.300,1435896.24530,0
1677976860000,22325.80,22328.40,22312.80,22316.80,154.992,1677976919999,3459218.32180,1279,58.560,1307094.22570,0
1677976920000,22316.90,22320.00,22316.80,22320.00,49.434,1677976979999,1103313.74070,427,37.645,840187.64890,0
1677976980000,22319.90,22320.00,22311.30,22316.30,90.421,1677977039999,2017690.84640,838,24.846,554415.00590,0
1677977040000,22316.40,22321.90,22313.60,22320.00,107.785,1677977099999,2405513.22170,909,78.256,1746479.50820,0
1677977100000,22320.00,22323.10,22313.20,22313.20,118.965,1677977159999,2655092.34760,923,27.440,612431.79850,0
1677977160000,22313.30,22313.30,22309.90,22310.40,69.010,1677977219999,1539717.29040,645,17.973,400986.81100,0
1677977220000,22310.50,22322.40,22310.40,22321.50,63.417,1677977279999,1415193.14270,673,32.454,724186.46460,0
1677977280000,22321.50,22321.50,22321.40,22321.40,20.783,1677977339999,463907.33640,219,16.802,375045.84300,0
1677977340000,22321.50,22331.20,22316.40,22328.50,80.208,1677977399999,1790593.85130,893,42.265,943556.00130,0
1677977400000,22328.40,22328.50,22321.10,22321.20,31.869,1677977459999,711456.94080,496,14.086,314467.30820,0
1677977460000,22321.20,22324.20,22321.10,22324.20,28.221,1677977519999,629930.10720,360,12.250,273437.93810,0
1677977520000,22324.10,22324.20,22319.70,22319.80,41.712,1677977579999,931164.72900,442,9.214,205693.44940,0
1677977580000,22319.70,22323.70,22314.90,22321.00,50.897,1677977639999,1136033.26390,634,15.661,349546.69640,0
1677977640000,22320.80,22320.80,22317.20,22317.20,55.173,1677977699999,1231430.38520,462,8.179,182552.42760,0
1677977700000,22317.30,22340.20,22317.20,22338.40,350.423,1677977759999,7825976.55480,1632,301.080,6723869.89120,0
1677977760000,22338.50,22355.00,22338.50,22352.90,769.302,1677977819999,17193314.22660,3903,640.998,14325890.77040,0
1677977820000,22353.00,22380.00,22352.90,22379.40,1787.302,1677977879999,39981360.18010,8259,1314.281,29399468.32410,0
1677977880000,22379.40,22379.50,22367.00,22369.60,355.200,1677977939999,7946680.43390,2327,110.774,2478162.20450,0
1677977940000,22369.70,22373.60,22366.30,22370.20,374.427,1677977999999,8376042.30200,1514,231.922,5188219.31040,0
1677978000000,22370.10,22378.60,22370.10,22373.10,348.092,1677978059999,7788458.93840,2593,194.511,4352127.80640,0
1677978060000,22373.10,22373.10,22356.40,22356.50,245.026,1677978119999,5479871.20270,1864,41.670,931966.58700,0
1677978120000,22356.50,22366.40,22353.60,22360.90,312.512,1677978179999,6987778.46190,1836,137.071,3064726.04860,0
1677978180000,22360.90,22362.00,22352.70,22352.80,143.571,1677978239999,3210139.29170,1120,39.580,885000.55250,0
