open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1679616000000,28284.00,28297.30,28280.10,28294.20,206.803,1679616059999,5849856.56040,2720,111.118,3143213.23270,0
1679616060000,28294.10,28299.80,28284.00,28297.60,186.474,1679616119999,5275738.52280,2397,84.005,2376651.74640,0
1679616120000,28297.50,28319.60,28296.00,28315.10,300.429,1679616179999,8505039.29040,2552,207.595,5876676.76810,0
1679616180000,28315.00,28323.90,28297.00,28300.30,147.803,1679616239999,4185012.82160,2285,69.439,1966220.31450,0
1679616240000,28300.30,28300.40,28278.30,28278.30,217.147,1679616299999,6142708.00670,2200,60.125,1700815.18460,0
1679616300000,28278.30,28284.10,28270.80,28273.20,203.174,1679616359999,5744939.95440,2494,71.006,2007789.15110,0
1679616360000,28273.20,28294.30,28271.40,28291.40,194.702,1679616419999,5507134.89240,2130,94.827,2682248.75610,0
1679616420000,28291.40,28317.30,28291.40,28314.00,298.994,1679616479999,8463271.29820,2254,211.751,5993280.35260,0
1679616480000,28314.00,28314.10,28302.90,28307.30,132.951,1679616539999,3763948.56120,1574,51.967,1471186.37800,0
1679616540000,28307.30,28311.00,28280.90,28293.60,225.197,1679616599999,6371625.65560,2218,91.931,2600928.92120,0
1679616600000,28293.60,28310.90,28289.30,28307.10,157.506,1679616659999,4457756.79700,1859,89.097,2521735.30200,0
1679616660000,28307.00,28331.00,28307.00,28329.00,287.735,1679616719999,8149496.53310,2397,219.684,6221997.45460,0
1679616720000,28328.90,28335.40,28315.80,28315.90,240.145,1679616779999,6802758.37760,2280,100.125,2836423.96940,0
1679616780000,28315.80,28330.80,28314.80,28318.50,160.479,1679616839999,4545005.32850,1924,83.885,2375683.39730,0
1679616840000,28318.50,28320.10,28299.50,28304.90,178.608,1679616899999,5055621.97610,1803,59.650,1688393.11880,0
1679616900000,28305.00,28310.00,28291.80,28294.50,200.365,1679616959999,5670439.71330,2090,71.005,2009362.82340,0
1679616960000,28294.60,28304.90,28292.00,28303.60,180.335,1679617019999,5103590.87960,1723,81.237,2298994.83460,0
1679617020000,28303.50,28312.30,28294.30,28299.50,207.327,1679617079999,5868173.55400,2054,93.012,2632627.62720,0
1679617080000,28299.40,28322.40,28299.40,28322.40,125.636,1679617139999,3557255.54660,1651,77.399,2191318.40330,0
1679617140000,28322.30,28341.20,28317.60,28335.20,382.950,1679617199999,10849058.05380,3204,234.127,6632754.26510,0
1679617200000,28335.10,28349.90,28335.10,28345.10,366.978,1679617259999,10401914.49550,2924,177.430,5029068.09640,0
1679617260000,28345.00,28347.90,28335.70,28340.50,184.900,1679617319999,5240241.69170,2099,88.404,2505390.52310,0
1679617320000,28340.40,28344.20,28339.60,28340.10,83.191,1679617379999,2357720.34240,1265,48.093,1362993.37200,0
1679617380000,28340.00,28369.10,28333.60,28347.00,693.007,1679617439999,19651049.42240,3991,359.614,10195859.41570,0
1679617440000,28346.90,28360.10,28346.90,28350.20,170.303,1679617499999,4828559.47260,2089,92.402,2619748.74760,0
1679617500000,28350.20,28350.20,28329.10,28329.40,186.169,1679617559999,5276617.18160,2079,76.713,2174350.25200,0
1679617560000,28329.50,28333.00,28317.00,28319.50,167.693,1679617619999,4750025.14770,1692,61.664,1746691.04840,0
1679617620000,28319.50,28322.50,28314.90,28315.00,128.817,1679617679999,3647864.47720,1266,41.086,1163506.45560,0
1679617680000,28314.90,28320.20,28302.00,28302.00,202.020,1679617739999,5719580.22550,1994,76.370,2162176.30580,0
1679617740000,28302.00,28302.10,28272.60,28283.80,450.425,1679617799999,12739924.07450,3273,138.639,3921057.97390,0
1679617800000,28283.80,28284.60,28257.60,28273.40,434.074,1679617859999,12271737.14830,3978,156.601,4427232.73230,0
1679617860000,28273.40,28289.30,28273.30,28284.00,274.564,1679617919999,7765248.49000,2007,194.110,5489752.19660,0
1679617920000,28283.90,28296.30,28283.90,28287.70,138.277,1679617979999,3911772.36720,1670,85.719,2424904.01160,0
1679617980000,28287.70,28289.70,28278.20,28288.20,144.919,1679618039999,4098850.82620,1576,56.331,1593227.79950,0
1679618040000,28288.20,28298.00,28282.30,28282.60,170.555,1679618099999,4825163.19000,1919,75.570,2137947.29770,0
1679618100000,28282.60,28315.80,28282.50,28313.90,417.289,1679618159999,11808785.81980,2320,340.915,9647583.50390,0
1679618160000,28313.90,28323.90,28281.30,28286.80,515.432,1679618219999,14588572.77330,3540,179.256,5073394.06960,0
1679618220000,28286.80,28290.30,28276.00,28287.70,133.210,1679618279999,3767639.09280,1666,68.026,1923959.33600,0
1679618280000,28287.70,28292.90,28282.30,28291.00,129.180,1679618339999,3654085.72060,1490,78.035,2207298.60980,0
1679618340000,28291.00,28300.00,28291.00,28299.30,134.979,1679618399999,3819517.74860,1150,88.263,2497635.03630,0
1679618400000,28299.30,28299.60,28273.90,28274.80,180.857,1679618459999,5115855.07540,2050,61.395,1736684.83290,0
1679618460000,28274.80,28297.00,28273.20,28284.70,266.480,1679618519999,7537389.70830,2082,191.577,5418634.41460,0
1679618520000,28284.80,28296.70,28280.00,28281.40,115.870,1679618579999,3277513.16510,1700,63.355,1792035.39050,0
1679618580000,28281.30,28300.00,28281.30,28295.50,147.784,1679618639999,4181281.25570,1484,92.674,2621994.56510,0
1679618640000,28295.40,28308.00,28293.50,28294.20,275.208,1679618699999,7788438.87850,1445,208.133,5890113.01710,0
1679618700000,28294.10,28301.00,28292.60,28299.40,82.912,1679618759999,2346050.63480,1173,44.797,1267561.51110,0
1679618760000,28299.30,28305.80,28290.40,28291.60,169.458,1679618819999,4795478.77290,1847,76.450,2163497.36040,0
1679618820000,28291.50,28301.60,28288.00,28288.90,111.030,1679618879999,3141587.78230,1182,50.296,1423054.54910,0
1679618880000,28288.90,28291.90,28280.30,28283.60,118.548,1679618939999,3353209.44840,1239,35.913,1015837.15910,0
1679618940000,28283.50,28292.60,28278.50,28287.80,183.745,1679618999999,5197328.27190,1706,82.244,2326337.51200,0
1679619000000,28287.80,28287.90,28268.90,28270.10,132.580,1679619059999,3749312.38830,1689,42.481,1201389.58250,0
1679619060000,28270.10,28278.70,28262.00,28262.50,182.237,1679619119999,5151902.01640,2298,104.771,2961858.12410,0
1679619120000,28262.40,28265.70,28216.30,28239.40,820.947,1679619179999,23183653.60460,6299,274.154,7741308.51700,0
1679619180000,28239.40,28258.00,28233.10,28237.70,285.001,1679619239999,8049658.75980,3216,139.130,3929646.24710,0
1679619240000,28237.80,28249.70,28235.20,28246.80,157.266,1679619299999,4441743.55870,1849,74.672,2108965.81450,0
