open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1678579200000,20447.30,20449.60,20435.20,20436.30,541.313,1678579259999,11065689.01010,3066,239.041,4886652.06150,0
1678579260000,20436.30,20440.00,20431.50,20432.10,406.644,1678579319999,8309675.10760,2964,170.459,3483285.53550,0
1678579320000,20432.20,20438.90,20421.40,20429.80,569.864,1678579379999,11642629.04820,3764,238.378,4870407.72740,0
1678579380000,20429.80,20441.60,20426.20,20429.30,270.255,1678579439999,5522078.60090,2531,161.162,3293094.38900,0
1678579440000,20429.30,20448.20,20421.40,20442.40,338.223,1678579499999,6911887.69640,2745,209.791,4287673.43100,0
1678579500000,20442.40,20452.20,20440.10,20448.40,330.013,1678579559999,6748016.49120,2588,204.231,4175992.00880,0
1678579560000,20448.40,20468.70,20448.30,20468.70,870.951,1678579619999,17819637.62470,4379,493.648,10099838.95760,0
1678579620000,20468.60,20488.20,20464.80,20487.90,698.439,1678579679999,14300641.61920,3703,516.126,10568069.22520,0
1678579680000,20487.80,20490.00,20456.90,20461.20,407.887,1678579739999,8352349.00740,3085,161.925,3315756.22300,0
1678579740000,20461.20,20463.40,20440.70,20445.00,365.735,1678579799999,7480490.45500,2623,105.299,2153884.35320,0
1678579800000,20445.00,20458.60,20433.40,20456.70,468.830,1678579859999,9584000.84970,3651,293.854,6007236.09510,0
1678579860000,20456.80,20456.80,20422.40,20422.40,470.524,1678579919999,9614828.22110,3301,173.782,3551405.76940,0
1678579920000,20422.50,20424.40,20385.40,20391.70,1370.558,1678579979999,27963537.56100,6717,393.496,8026566.32380,0
1678579980000,20391.70,20392.00,20328.00,20334.60,2703.327,1678580039999,55044324.18360,9689,688.624,14021737.09880,0
1678580040000,20334.60,20349.00,20330.40,20344.20,1030.132,1678580099999,20953652.29360,5215,501.109,10192909.84660,0
1678580100000,20344.20,20402.60,20344.10,20389.20,1333.134,1678580159999,27170004.51410,5997,780.494,15905052.69350,0
1678580160000,20389.30,20402.10,20378.80,20383.00,400.415,1678580219999,8165239.10040,2959,172.539,3518437.77640,0
1678580220000,20383.10,20383.10,20369.50,20375.30,264.152,1678580279999,5381919.23230,1752,107.429,2188674.00860,0
1678580280000,20375.30,20388.40,20375.30,20377.30,189.593,1678580339999,3864463.09130,1626,94.196,1919907.11480,0
1678580340000,20377.30,20378.80,20368.00,20368.00,147.684,1678580399999,3008818.80240,1202,66.799,1360918.89030,0
1678580400000,20368.10,20384.90,20368.00,20384.80,391.492,1678580459999,7977546.20240,2088,329.362,6711606.78800,0
1678580460000,20384.90,20397.20,20375.10,20375.20,365.766,1678580519999,7457930.44560,2048,205.983,4200012.73270,0
1678580520000,20375.20,20378.50,20363.80,20376.20,361.810,1678580579999,7370057.52030,2206,161.531,3290480.16990,0
1678580580000,20376.40,20383.50,20372.30,20383.10,486.138,1678580639999,9905626.41550,2163,406.578,8284275.82060,0
1678580640000,20383.20,20388.50,20377.90,20380.70,172.503,1678580699999,3516132.83820,1375,62.512,1274126.78570,0
1678580700000,20380.80,20383.10,20380.10,20381.30,112.137,1678580759999,2285534.39680,1062,66.059,1346387.82670,0
1678580760000,20381.30,20383.60,20371.10,20376.10,492.205,1678580819999,10029424.71110,2525,258.322,5263706.58860,0
1678580820000,20376.20,20380.00,20350.40,20357.80,346.266,1678580879999,7051112.73530,2308,99.077,2017663.61740,0
1678580880000,20357.80,20358.60,20349.00,20358.60,363.983,1678580939999,7408117.70020,2077,159.962,3255674.86920,0
1678580940000,20358.60,20372.10,20357.30,20372.10,297.415,1678580999999,6057587.37920,1747,183.353,3734444.12040,0
1678581000000,20372.00,20378.00,20367.30,20375.60,304.551,1678581059999,6204421.09840,1912,162.667,3313902.20410,0
1678581060000,20375.70,20387.70,20375.60,20382.80,325.328,1678581119999,6630049.21910,2105,271.931,5541761.85370,0
1678581120000,20382.70,20385.00,20372.30,20375.50,234.287,1678581179999,4774150.24120,1732,84.766,1727256.94320,0
1678581180000,20375.60,20377.50,20368.00,20371.80,299.314,1678581239999,6098247.19790,1507,193.619,3944833.58220,0
1678581240000,20371.70,20390.00,20370.20,20388.00,268.827,1678581299999,5478569.91330,1829,219.644,4476026.31960,0
1678581300000,20388.00,20392.10,20382.20,20388.80,159.106,1678581359999,3243758.84610,1466,125.404,2556704.03500,0
1678581360000,20388.80,20393.50,20379.50,20383.40,262.573,1678581419999,5353509.48380,1937,122.881,2505391.97020,0
1678581420000,20383.40,20383.40,20365.00,20365.10,311.654,1678581479999,6348791.13630,1225,37.898,772004.82150,0
1678581480000,20365.20,20372.40,20365.20,20367.20,99.921,1678581539999,2035333.55360,1073,54.260,1105236.66250,0
1678581540000,20367.20,20370.00,20365.30,20368.70,139.532,1678581599999,2841940.51350,1419,80.413,1637779.71980,0
1678581600000,20368.70,20369.70,20352.00,20353.30,418.816,1678581659999,8528185.51920,2423,198.989,4051951.37770,0
1678581660000,20353.20,20362.80,20351.10,20356.00,224.677,1678581719999,4573793.27150,1815,122.499,2493749.41850,0
1678581720000,20356.00,20369.00,20354.00,20367.00,166.978,1678581779999,3399633.39950,1768,121.536,2474460.92760,0
1678581780000,20367.00,20376.50,20366.90,20369.40,282.438,1678581839999,5754078.24310,1249,80.151,1632903.60940,0
1678581840000,20369.50,20369.50,20368.00,20368.10,189.850,1678581899999,3866901.49500,600,31.429,640159.42390,0
1678581900000,20368.00,20377.00,20368.00,20375.30,139.499,1678581959999,2841862.31660,1601,108.101,2202230.55080,0
1678581960000,20375.40,20391.20,20375.30,20390.60,448.983,1678582019999,9151248.51220,2311,386.728,7882372.47020,0
1678582020000,20390.60,20390.70,20376.70,20377.30,176.361,1678582079999,3594508.75610,1499,82.391,1679239.33650,0
1678582080000,20377.40,20380.40,20372.50,20379.70,86.456,1678582139999,1761714.32610,1153,52.926,1078467.96270,0
