open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1680652800000,1869.11,1869.61,1868.76,1869.23,2097.205,1680652859999,3920256.80397,2251,775.863,1450296.97381,0
1680652860000,1869.23,1869.30,1868.37,1868.76,1698.687,1680652919999,3174456.37583,1867,596.910,1115464.97874,0
1680652920000,1868.77,1868.77,1867.69,1868.26,2014.635,1680652979999,3763731.50628,1664,532.533,994871.43563,0
1680652980000,1868.26,1868.65,1868.08,1868.22,1004.270,1680653039999,1876352.91257,1165,446.347,833920.52593,0
1680653040000,1868.22,1868.41,1867.69,1867.70,1232.679,1680653099999,2302642.81988,1209,378.484,707000.91891,0
1680653100000,1867.70,1868.34,1867.55,1868.34,1282.905,1680653159999,2396270.01103,1597,480.600,897731.21095,0
1680653160000,1868.34,1868.63,1867.79,1868.62,1160.138,1680653219999,2167193.45127,1144,623.225,1164231.64004,0
1680653220000,1868.62,1868.77,1868.38,1868.39,713.456,1680653279999,1333202.40782,824,271.386,507125.06864,0
1680653280000,1868.38,1868.70,1867.53,1867.81,1094.133,1680653339999,2043856.61534,1105,477.980,892840.64581,0
1680653340000,1867.81,1868.04,1867.51,1867.51,792.827,1680653399999,1480797.48472,798,226.899,423796.19236,0
1680653400000,1867.51,1867.52,1866.82,1866.90,1596.336,1680653459999,2980695.80678,1301,175.242,327183.84628,0
1680653460000,1866.89,1867.46,1866.61,1866.83,1364.101,1680653519999,2546715.00030,1277,569.612,1063444.55885,0
1680653520000,1866.83,1866.90,1866.61,1866.62,399.382,1680653579999,745577.28074,694,110.215,205751.44042,0
1680653580000,1866.62,1867.46,1866.58,1867.45,476.140,1680653639999,888919.27078,788,278.100,519220.15326,0
1680653640000,1867.46,1867.52,1866.82,1866.82,502.329,1680653699999,937951.57873,811,261.981,489162.95259,0
1680653700000,1866.82,1866.83,1863.90,1863.95,3395.096,1680653759999,6332120.65775,3090,971.480,1811889.24043,0
1680653760000,1863.94,1867.39,1863.69,1867.30,2047.790,1680653819999,3820421.08999,2074,1467.833,2738411.46522,0
1680653820000,1867.31,1870.20,1867.30,1870.19,4193.872,1680653879999,7839980.51462,2927,3337.514,6239217.48681,0
1680653880000,1870.19,1871.41,1869.86,1870.81,4292.315,1680653939999,8029948.25253,3293,2870.152,5369340.92555,0
1680653940000,1870.81,1871.47,1869.74,1871.23,2380.188,1680653999999,4452516.75506,2126,1533.104,2867954.70781,0
1680654000000,1871.23,1871.63,1870.41,1870.46,2674.531,1680654059999,5004379.96025,2219,1874.771,3507973.33093,0
1680654060000,1870.46,1872.59,1869.81,1872.42,3534.513,1680654119999,6613024.29347,3396,2498.923,4675839.55775,0
1680654120000,1872.41,1877.86,1872.40,1875.92,14209.683,1680654179999,26653688.33226,10431,10151.205,19041030.10672,0
1680654180000,1875.91,1876.94,1875.22,1875.48,3092.676,1680654239999,5801698.64859,2952,1377.986,2585072.67881,0
1680654240000,1875.48,1885.00,1875.27,1882.77,17719.971,1680654299999,33323006.17878,14098,12433.435,23380384.85774,0
1680654300000,1882.77,1884.01,1878.44,1878.98,7514.530,1680654359999,14131846.29257,6422,3103.136,5836155.38839,0
1680654360000,1878.98,1880.60,1878.35,1878.60,3908.569,1680654419999,7344670.78518,3137,2235.426,4200690.43314,0
1680654420000,1878.60,1878.68,1876.58,1876.72,2719.500,1680654479999,5106110.78920,2713,862.363,1619075.23426,0
1680654480000,1876.72,1878.40,1876.63,1878.19,1613.923,1680654539999,3029981.14451,1814,985.972,1850976.87132,0
1680654540000,1878.19,1878.27,1876.51,1878.04,1289.936,1680654599999,2421371.49568,1550,526.503,988318.98506,0
1680654600000,1878.04,1878.96,1877.85,1878.87,2373.220,1680654659999,4457898.79721,2745,1505.461,2827862.85637,0
1680654660000,1878.87,1885.33,1878.44,1885.14,9114.340,1680654719999,17155319.58060,7550,6298.037,11854776.29956,0
1680654720000,1885.14,1915.00,1884.54,1903.41,133226.502,1680654779999,253234825.12847,83128,87945.621,167161319.58840,0
1680654780000,1903.61,1910.58,1900.41,1907.42,34325.845,1680654839999,65414528.98879,21297,19813.813,37764018.01257,0
1680654840000,1907.41,1919.00,1905.30,1907.77,49776.017,1680654899999,95153592.13135,29341,28949.364,55354192.83963,0
1680654900000,1907.77,1907.78,1902.87,1904.57,14874.686,1680654959999,28337358.99981,9721,5643.153,10750843.44995,0
1680654960000,1904.57,1905.33,1902.25,1905.32,11082.732,1680655019999,21101029.59674,8111,4974.476,9471501.31988,0
1680655020000,1905.32,1905.33,1898.09,1902.71,16351.122,1680655079999,31084559.25351,10927,6602.955,12552463.76421,0
1680655080000,1902.71,1902.80,1898.37,1899.98,9217.117,1680655139999,17514902.21863,7568,3912.969,7435692.49497,0
1680655140000,1899.99,1899.99,1897.70,1898.20,8436.460,1680655199999,16017267.59060,6128,4641.686,8812906.74963,0
1680655200000,1898.20,1901.99,1898.20,1900.82,5574.334,1680655259999,10595280.86371,4679,3738.407,7105447.87829,0
1680655260000,1900.82,1901.42,1899.17,1900.91,5404.067,1680655319999,10269158.71512,3922,2818.648,5356312.93576,0
1680655320000,1900.90,1906.11,1900.90,1903.62,9090.297,1680655379999,17303876.36344,6769,6289.587,11972423.38847,0
1680655380000,1903.55,1905.54,1903.01,1903.61,5710.522,1680655439999,10875154.55333,4225,3662.892,6975735.30198,0
1680655440000,1903.60,1906.00,1902.80,1903.15,6612.851,1680655499999,12593004.94429,4544,3063.125,5833743.17572,0
1680655500000,1903.16,1905.54,1903.01,1904.36,6229.683,1680655559999,11865066.87628,5234,2967.324,5651453.68244,0
1680655560000,1904.36,1906.89,1903.67,1905.37,7477.018,1680655619999,14247028.94098,5184,3212.996,6122130.50667,0
1680655620000,1905.37,1905.37,1903.07,1903.99,5203.767,1680655679999,9908870.75316,3407,3049.953,5807810.33769,0
1680655680000,1904.00,1904.04,1902.27,1903.55,3873.883,1680655739999,7372931.55420,2975,1888.796,3594967.14158,0
1680655740000,1903.56,1903.83,1900.11,1900.40,4540.197,1680655799999,8632639.49469,4078,1566.986,2979540.00670,0
1680655800000,1900.41,1902.17,1898.40,1899.71,12186.218,1680655859999,23155354.94001,6442,5534.469,10517460.55216,0
1680655860000,1899.71,1901.61,1899.00,1901.20,5792.374,1680655919999,11008149.84126,3500,3901.104,7413815.46006,0
1680655920000,1901.19,1903.84,1900.61,1901.30,6270.464,1680655979999,11927779.45158,4300,3112.416,5921135.59758,0
1680655980000,1901.31,1903.16,1900.99,1902.89,2713.960,1680656039999,5163052.33657,2372,1383.333,2631524.26491,0
1680656040000,1902.89,1905.63,1902.43,1905.46,4788.423,1680656099999,9118539.01982,3924,3390.923,6457456.94493,0
1680656100000,1905.46,1915.00,1905.04,1911.64,34975.904,1680656159999,66859317.70179,18599,20369.088,38936060.11229,0
1680656160000,1911.64,1915.90,1910.00,1914.74,16781.365,1680656219999,32101420.99193,9973,9767.411,18686895.98076,0
1680656220000,1914.74,1918.75,1912.46,1914.31,24096.837,1680656279999,46155773.02129,14518,12940.516,24789752.79246,0
1680656280000,1914.32,1917.09,1913.73,1914.50,11613.688,1680656339999,22245897.63801,6934,5639.544,10802214.51603,0
1680656340000,1914.50,1916.80,1912.78,1912.97,7823.480,1680656399999,14982074.17659,5778,4229.938,8101166.98625,0
1680656400000,1912.97,1918.22,1912.97,1913.24,12849.126,1680656459999,24616172.10350,7827,5905.368,11314407.74204,0
1680656460000,1913.24,1913.46,1906.99,1907.68,14361.379,1680656519999,27426876.86175,9582,5158.264,9850905.48283,0
1680656520000,1907.67,1909.84,1906.06,1908.12,8066.318,1680656579999,15391263.57778,6208,4641.161,8856168.21335,0
1680656580000,1908.13,1908.93,1906.51,1906.71,6914.012,1680656639999,13189088.66505,5039,2887.415,5508284.59498,0
1680656640000,1906.71,1909.50,1906.71,1908.79,4506.767,1680656699999,8599967.83864,3569,2791.269,5326350.94718,0
1680656700000,1908.79,1911.56,1908.79,1911.01,5250.475,1680656759999,10028201.36877,4047,3323.818,6348317.85930,0
1680656760000,1911.01,1912.79,1910.13,1912.65,7450.741,1680656819999,14243227.84184,5077,4257.207,8138423.01387,0
1680656820000,1912.65,1912.74,1909.72,1909.95,5398.642,1680656879999,10317334.21724,4065,2326.721,4446382.04952,0
1680656880000,1909.96,1911.60,1909.48,1909.79,3882.580,1680656939999,7417315.91673,3086,1990.659,3803042.72604,0
1680656940000,1909.78,1910.98,1909.14,1909.14,3563.064,1680656999999,6804864.38688,2854,1321.992,2524854.25308,0
1680657000000,1909.15,1910.99,1907.69,1910.95,5049.517,1680657059999,9641472.82229,4082,2341.615,4470877.33463,0
1680657060000,1910.95,1910.95,1909.46,1909.51,1620.688,1680657119999,3095680.66234,1929,717.544,1370514.95692,0
1680657120000,1909.51,1910.53,1908.00,1910.52,2252.768,1680657179999,4300456.57592,2131,1146.129,2187932.28354,0
1680657180000,1910.52,1911.00,1908.01,1908.58,2970.794,1680657239999,5672783.93003,2560,1314.853,2510830.65064,0
1680657240000,1908.58,1908.59,1907.00,1907.69,3291.255,1680657299999,6278765.09798,2636,1262.475,2408530.85248,0
1680657300000,1907.69,1909.57,1906.70,1908.48,3843.236,1680657359999,7333288.46827,3727,1824.039,3480372.22381,0
1680657360000,1908.48,1908.49,1904.38,1906.66,7122.106,1680657419999,13577285.08216,4977,2768.589,5278568.04485,0
1680657420000,1906.66,1908.17,1905.85,1906.80,2726.632,1680657479999,5199711.24889,2770,1262.611,2407877.95536,0
