symbol,exchange,datetime,open,high,low,close,volume,open_interest
TF888,CFFEX,2020-08-03 10:21:00,100.3,100.3,100.295,100.295,50.0,37630.0
TF888,CFFEX,2020-08-03 10:22:00,100.3,100.3,100.285,100.285,53.0,37631.0
TF888,CFFEX,2020-08-03 10:23:00,100.285,100.295,100.27499999999999,100.27499999999999,98.0,37696.0
TF888,CFFEX,2020-08-03 10:24:00,100.27499999999999,100.295,100.27499999999999,100.28999999999999,35.0,37705.0
TF888,CFFEX,2020-08-03 10:25:00,100.28999999999999,100.3,100.28,100.28,16.0,37703.0
TF888,CFFEX,2020-08-03 10:26:00,100.28,100.28999999999999,100.27499999999999,100.27499999999999,48.0,37715.0
TF888,CFFEX,2020-08-03 10:27:00,100.27499999999999,100.285,100.27499999999999,100.285,69.0,37757.0
TF888,CFFEX,2020-08-03 10:28:00,100.285,100.28999999999999,100.285,100.28999999999999,3.0,37757.0
TF888,CFFEX,2020-08-03 10:29:00,100.28999999999999,100.295,100.285,100.295,21.0,37762.0
TF888,CFFEX,2020-08-03 10:30:00,100.295,100.295,100.285,100.285,44.0,37738.0
TF888,CFFEX,2020-08-03 10:31:00,100.285,100.285,100.27499999999999,100.28,34.0,37731.0
TF888,CFFEX,2020-08-03 10:32:00,100.28,100.28,100.27,100.27,36.0,37733.0
TF888,CFFEX,2020-08-03 10:33:00,100.27,100.28,100.27,100.28,19.0,37736.0
TF888,CFFEX,2020-08-03 10:34:00,100.28,100.28,100.27499999999999,100.28,43.0,37721.0
TF888,CFFEX,2020-08-03 10:35:00,100.28,100.28,100.27499999999999,100.28,25.0,37727.0
TF888,CFFEX,2020-08-03 10:36:00,100.28,100.28,100.27499999999999,100.28,9.0,37721.0
TF888,CFFEX,2020-08-03 10:37:00,100.28,100.28,100.27499999999999,100.27499999999999,20.0,37729.0
TF888,CFFEX,2020-08-03 10:38:00,100.27499999999999,100.28,100.27499999999999,100.27499999999999,53.0,37742.0
TF888,CFFEX,2020-08-03 10:39:00,100.27499999999999,100.27499999999999,100.265,100.27,55.0,37740.0
TF888,CFFEX,2020-08-03 10:40:00,100.27,100.27,100.25999999999999,100.25999999999999,111.0,37777.0
TF888,CFFEX,2020-08-03 10:41:00,100.25999999999999,100.27,100.25999999999999,100.265,46.0,37771.0
TF888,CFFEX,2020-08-03 10:42:00,100.25999999999999,100.28,100.25999999999999,100.27499999999999,82.0,37761.0
TF888,CFFEX,2020-08-03 10:43:00,100.27499999999999,100.285,100.27499999999999,100.285,23.0,37770.0
TF888,CFFEX,2020-08-03 10:44:00,100.285,100.3,100.285,100.295,36.0,37768.0
TF888,CFFEX,2020-08-03 10:45:00,100.295,100.31,100.295,100.30499999999999,109.0,37784.0
TF888,CFFEX,2020-08-03 10:46:00,100.30499999999999,100.315,100.30499999999999,100.315,22.0,37786.0
TF888,CFFEX,2020-08-03 10:47:00,100.315,100.315,100.295,100.3,109.0,37764.0
TF888,CFFEX,2020-08-03 10:48:00,100.3,100.3,100.28999999999999,100.28999999999999,33.0,37751.0
TF888,CFFEX,2020-08-03 10:49:00,100.28999999999999,100.30499999999999,100.28999999999999,100.3,27.0,37754.0
TF888,CFFEX,2020-08-03 10:50:00,100.3,100.31,100.3,100.31,20.0,37752.0
TF888,CFFEX,2020-08-03 10:51:00,100.31,100.31,100.30499999999999,100.30499999999999,27.0,37755.0
TF888,CFFEX,2020-08-03 10:52:00,100.30499999999999,100.315,100.295,100.295,96.0,37738.0
TF888,CFFEX,2020-08-03 10:53:00,100.295,100.30499999999999,100.295,100.30499999999999,121.0,37720.0
TF888,CFFEX,2020-08-03 10:54:00,100.30499999999999,100.32,100.30499999999999,100.32,48.0,37715.0
TF888,CFFEX,2020-08-03 10:55:00,100.32,100.335,100.32,100.33,77.0,37730.0
TF888,CFFEX,2020-08-03 10:56:00,100.33,100.345,100.32499999999999,100.345,52.0,37722.0
TF888,CFFEX,2020-08-03 10:57:00,100.345,100.35,100.32499999999999,100.33,101.0,37702.0
TF888,CFFEX,2020-08-03 10:58:00,100.33,100.33999999999999,100.33,100.33999999999999,73.0,37703.0
TF888,CFFEX,2020-08-03 10:59:00,100.33999999999999,100.33999999999999,100.33,100.33,49.0,37691.0
TF888,CFFEX,2020-08-03 11:00:00,100.33,100.335,100.31,100.315,177.0,37704.0
TF888,CFFEX,2020-08-03 11:01:00,100.31,100.32,100.31,100.315,20.0,37703.0
TF888,CFFEX,2020-08-03 11:02:00,100.315,100.33,100.315,100.32,59.0,37689.0
TF888,CFFEX,2020-08-03 11:03:00,100.32,100.32499999999999,100.32,100.32,16.0,37686.0
TF888,CFFEX,2020-08-03 11:04:00,100.32,100.32,100.31,100.32,29.0,37693.0
TF888,CFFEX,2020-08-03 11:05:00,100.32,100.32,100.32,100.32,21.0,37694.0
TF888,CFFEX,2020-08-03 11:06:00,100.32,100.33999999999999,100.32,100.335,174.0,37690.0
TF888,CFFEX,2020-08-03 11:07:00,100.33,100.33999999999999,100.32499999999999,100.33,66.0,37692.0
TF888,CFFEX,2020-08-03 11:08:00,100.33,100.33999999999999,100.33,100.335,49.0,37673.0
TF888,CFFEX,2020-08-03 11:09:00,100.335,100.335,100.32,100.32,18.0,37669.0
TF888,CFFEX,2020-08-03 11:10:00,100.32,100.32499999999999,100.315,100.32,24.0,37664.0
TF888,CFFEX,2020-08-03 11:11:00,100.32,100.32,100.315,100.315,16.0,37656.0
TF888,CFFEX,2020-08-03 11:12:00,100.315,100.32,100.315,100.32,25.0,37657.0
TF888,CFFEX,2020-08-03 11:13:00,100.32,100.33,100.32,100.33,53.0,37678.0
TF888,CFFEX,2020-08-03 11:14:00,100.33,100.335,100.32499999999999,100.335,45.0,37672.0
TF888,CFFEX,2020-08-03 11:15:00,100.335,100.335,100.33,100.33,63.0,37660.0
TF888,CFFEX,2020-08-03 11:16:00,100.33,100.33,100.33,100.33,6.0,37659.0
TF888,CFFEX,2020-08-03 11:17:00,100.33,100.335,100.33,100.335,45.0,37650.0
TF888,CFFEX,2020-08-03 11:18:00,100.335,100.335,100.32,100.32499999999999,45.0,37655.0
TF888,CFFEX,2020-08-03 11:19:00,100.32499999999999,100.35,100.32499999999999,100.33999999999999,147.0,37642.0
TF888,CFFEX,2020-08-03 11:20:00,100.33999999999999,100.33999999999999,100.33,100.33999999999999,54.0,37641.0
TF888,CFFEX,2020-08-03 11:21:00,100.33999999999999,100.365,100.33999999999999,100.35499999999999,144.0,37633.0
TF888,CFFEX,2020-08-03 11:22:00,100.35499999999999,100.365,100.35499999999999,100.36,198.0,37719.0
TF888,CFFEX,2020-08-03 11:23:00,100.365,100.38,100.36,100.375,113.0,37742.0
TF888,CFFEX,2020-08-03 11:24:00,100.375,100.375,100.36,100.36999999999999,133.0,37736.0
TF888,CFFEX,2020-08-03 11:25:00,100.365,100.36999999999999,100.36,100.36,101.0,37741.0
